STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/5/2018,0,,,73
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/6/2018,0,,,78
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/7/2018,0,,,77
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/8/2018,0,,,76
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/9/2018,0,,,80
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/10/2018,0.05,,,69
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/11/2018,0.94,,,55
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/12/2018,0.39,,,47
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/13/2018,0.04,,,63
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/14/2018,0.66,,,52
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/15/2018,0,,,69
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/16/2018,0,,,75
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/17/2018,0,,,74
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/18/2018,0,,,63
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/19/2018,0,,,69
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/20/2018,0,,,72
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/21/2018,0.06,,,74
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/22/2018,0.03,,,66
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/23/2018,0.04,,,69
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/24/2018,0,,,78
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/25/2018,0,,,83
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/26/2018,0,,,77
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/27/2018,0.03,,,64
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/28/2018,0.16,,,63
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/29/2018,0,,,71
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/30/2018,0,,,79
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/31/2018,0,,,79
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/1/2018,0,,,65
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/2/2018,0,,,75
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/3/2018,0,,,83
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/4/2018,0,,,89
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/5/2018,0,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/6/2018,0,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/7/2018,0,,,83
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/8/2018,0,,,85
